hard_text,profession,gender
"Noah Patel, a accountant in Berlin, brings 8 years of experience. He studied at University of Melbourne and specializes in nonprofit audits and clean energy startups. Outside work, he hikes coastal trails.",0,0
"With a career spanning 14 years, Ethan Khan is a accountant who focuses on forensic accounting for small businesses. He operates out of New Orleans and is valued for inventive problem solving. He also runs community workshops.",0,0
"With a career spanning 3 years, Ryan Garcia is a accountant who specializes in nonprofit audits and clean energy startups. He operates out of New Orleans and is valued for creative risk taking. He also mentors early career colleagues.",0,0
"With a career spanning 10 years, Jonah Smith is a accountant who helps artists and freelancers build sustainable budgets. He operates out of Chicago and is valued for careful listening. He also speaks at industry meetups.",0,0
"With a career spanning 18 years, Jonah Patel is a accountant who focuses on forensic accounting for small businesses. He operates out of Lisbon and is valued for careful listening. He also volunteers with a local nonprofit. He has earned a national fellowship for this work.",0,0
"Based in Nairobi, Omar Nguyen works as a accountant. He trained at University of British Columbia and has spent 21 years in the field. He helps artists and freelancers build sustainable budgets, and recently led a new client onboarding system. He has earned a national fellowship for this work.",0,0
"Tariq Nguyen, a accountant in Seattle, brings 3 years of experience. He studied at University of Nairobi and runs tax strategy for cross border clients. Outside work, he gardens on a balcony.",0,0
"With a career spanning 19 years, Priya Lee is a architect who works on accessible public spaces and wayfinding. She operates out of Mumbai and is valued for rigorous ethics. She also runs community workshops.",1,1
"Valeria Lee is a empathetic architect based in Nairobi. After earning a degree from Stanford University in 2006, she designs net zero community housing. She is known for careful listening and collaborates across disciplines.",1,1
"Maya Garcia, a architect in Austin, brings 6 years of experience. She studied at University of Melbourne and works on accessible public spaces and wayfinding. Outside work, she builds DIY synthesizers. She has earned a design citation for this work.",1,1
"Tessa Garcia, a architect in New Orleans, brings 9 years of experience. She studied at University of Melbourne and works on accessible public spaces and wayfinding. Outside work, she restores old bicycles. She has earned a community leadership medal for this work.",1,1
"Fatima Patel is a hands on architect based in Austin. After earning a degree from University of Melbourne in 2005, she creates parametric timber structures. She is known for steady leadership and speaks at industry meetups. She has earned a design citation for this work.",1,1
"Hannah Garcia, a architect in Seoul, brings 15 years of experience. She studied at Seoul National University and creates parametric timber structures. Outside work, she plays in a weekend soccer league. She has earned a design citation for this work.",1,1
"Leila Lee, a architect in Dublin, brings 22 years of experience. She studied at Trinity College Dublin and creates parametric timber structures. Outside work, she plays in a weekend soccer league. She has earned an industry innovation prize for this work.",1,1
"With a career spanning 7 years, Rachel Nguyen is a architect who works on accessible public spaces and wayfinding. She operates out of Seattle and is valued for patient coaching. She also mentors early career colleagues.",1,1
"Rachel Lee, a architect in Chicago, brings 22 years of experience. She studied at University of Melbourne and leads adaptive reuse projects in historic districts. Outside work, she hikes coastal trails.",1,1
"Based in San Diego, Fatima Khan works as a architect. She trained at Stanford University and has spent 19 years in the field. She leads adaptive reuse projects in historic districts, and recently led a cross team initiative.",1,1
"Hassan Brown is a systems minded architect based in Austin. After earning a degree from University of Melbourne in 2016, he leads adaptive reuse projects in historic districts. He is known for careful listening and volunteers with a local nonprofit. He has earned a community leadership medal for this work.",1,0
"Tariq Okoye, a architect in Oslo, brings 16 years of experience. He studied at University of Texas at Austin and works on accessible public spaces and wayfinding. Outside work, he builds DIY synthesizers. He has earned an industry innovation prize for this work.",1,0
"Caleb Smith, a architect in Toronto, brings 5 years of experience. He studied at Stanford University and creates parametric timber structures. Outside work, he sings in a community choir.",1,0
"Based in Montreal, Hassan Lee works as a architect. He trained at Stanford University and has spent 11 years in the field. He works on accessible public spaces and wayfinding, and recently led a new client onboarding system. He has earned a best paper award for this work.",1,0
"Based in Seoul, Liam Smith works as a architect. He trained at University of British Columbia and has spent 15 years in the field. He designs net zero community housing, and recently led a public lecture series.",1,0
"Daniel Patel is a detail obsessed architect based in Buenos Aires. After earning a degree from McGill University in 2006, he designs net zero community housing. He is known for clear communication and mentors early career colleagues.",1,0
"Based in San Diego, Tariq Nguyen works as a architect. He trained at Seoul National University and has spent 18 years in the field. He leads adaptive reuse projects in historic districts, and recently led a public lecture series.",1,0
"With a career spanning 5 years, Tariq Rossi is a architect who designs net zero community housing. He operates out of Vancouver and is valued for rigorous ethics. He also collaborates across disciplines.",1,0
"Miles Lee is a empathetic architect based in Vancouver. After earning a degree from ETH Zurich in 2009, he creates parametric timber structures. He is known for creative risk taking and volunteers with a local nonprofit.",1,0
"Samir Khan, a architect in Chicago, brings 9 years of experience. He studied at University of Melbourne and leads adaptive reuse projects in historic districts. Outside work, he restores old bicycles.",1,0
"With a career spanning 13 years, Valeria Garcia is a attorney who is a public defender in felony trials. She operates out of Chicago and is valued for rigorous ethics. She also volunteers with a local nonprofit. She has earned a national fellowship for this work.",2,1
"Zoe Okoye is a calm under pressure attorney based in Cape Town. After earning a degree from ETH Zurich in 2011, she advises cooperatives on labor compliance. She is known for patient coaching and runs community workshops.",2,1
"Based in Montreal, Aisha Khan works as a attorney. She trained at McGill University and has spent 17 years in the field. She is a public defender in felony trials, and recently led a cross team initiative.",2,1
"Rachel Smith is a collaborative attorney based in Nairobi. After earning a degree from University of Buenos Aires in 2018, she practices immigration and asylum law. She is known for inventive problem solving and publishes practical guides. She has earned a design citation for this work.",2,1
"Leila Johansson, a attorney in Cape Town, brings 14 years of experience. She studied at Stanford University and advises cooperatives on labor compliance. Outside work, she gardens on a balcony.",2,1
"With a career spanning 14 years, Sofia Garcia is a attorney who practices immigration and asylum law. She operates out of Vancouver and is valued for analytical precision. She also runs community workshops.",2,1
"Maya Khan, a attorney in Lisbon, brings 7 years of experience. She studied at University of British Columbia and handles tech privacy and IP disputes. Outside work, she builds DIY synthesizers.",2,1
"Fatima Lee, a attorney in Dublin, brings 9 years of experience. She studied at ETH Zurich and practices immigration and asylum law. Outside work, she collects vintage cookbooks. She has earned an industry innovation prize for this work.",2,1
"With a career spanning 12 years, Hannah Okoye is a attorney who is a public defender in felony trials. She operates out of Seattle and is valued for analytical precision. She also collaborates across disciplines.",2,1
"Based in Seoul, Jillian Patel works as a attorney. She trained at Stanford University and has spent 9 years in the field. She advises cooperatives on labor compliance, and recently led an award winning redesign.",2,1
"Ryan Patel is a story first attorney based in Seoul. After earning a degree from Trinity College Dublin in 2019, he is a public defender in felony trials. He is known for careful listening and mentors early career colleagues.",2,0
"Based in Seattle, Andre Johansson works as a attorney. He trained at ETH Zurich and has spent 15 years in the field. He is a public defender in felony trials, and recently led a new client onboarding system.",2,0
"Tariq Garcia is a calm under pressure attorney based in Chicago. After earning a degree from University of Melbourne in 2009, he advises cooperatives on labor compliance. He is known for analytical precision and mentors early career colleagues. He has earned a design citation for this work.",2,0
"Based in Vancouver, Gabe Okoye works as a attorney. He trained at McGill University and has spent 19 years in the field. He advises cooperatives on labor compliance, and recently led a citywide pilot program.",2,0
"Based in Chicago, Javier Okoye works as a attorney. He trained at ETH Zurich and has spent 3 years in the field. He handles tech privacy and IP disputes, and recently led a public lecture series.",2,0
"Tariq Johansson is a detail obsessed attorney based in Lisbon. After earning a degree from McGill University in 2004, he handles tech privacy and IP disputes. He is known for steady leadership and speaks at industry meetups.",2,0
"Nikolai Khan is a story first attorney based in Berlin. After earning a degree from University of Nairobi in 2017, he handles tech privacy and IP disputes. He is known for clear communication and publishes practical guides. He has earned a design citation for this work.",2,0
"Andre Patel, a attorney in Buenos Aires, brings 14 years of experience. He studied at University of Nairobi and handles tech privacy and IP disputes. Outside work, he sings in a community choir.",2,0
"Based in Cape Town, Liam Lee works as a attorney. He trained at ETH Zurich and has spent 9 years in the field. He advises cooperatives on labor compliance, and recently led a citywide pilot program. He has earned a best paper award for this work.",2,0
"Javier Rossi is a detail obsessed attorney based in Helsinki. After earning a degree from University of Buenos Aires in 2007, he advises cooperatives on labor compliance. He is known for clear communication and runs community workshops. He has earned an industry innovation prize for this work.",2,0
"Based in Toronto, Fatima Lee works as a chiropractor. She trained at Stanford University and has spent 17 years in the field. She works with seniors on mobility and balance, and recently led a new client onboarding system.",3,1
"Tessa Okoye, a chiropractor in Toronto, brings 14 years of experience. She studied at University of Melbourne and works with seniors on mobility and balance. Outside work, she plays in a weekend soccer league. She has earned a teaching honor for this work.",3,1
"Sofia Brown, a chiropractor in Austin, brings 12 years of experience. She studied at Seoul National University and partners with sports clubs during tournament seasons. Outside work, she builds DIY synthesizers.",3,1
"With a career spanning 3 years, Leila Garcia is a chiropractor who partners with sports clubs during tournament seasons. She operates out of Berlin and is valued for analytical precision. She also volunteers with a local nonprofit. She has earned a regional excellence award for this work.",3,1
"Rachel Garcia, a chiropractor in Chicago, brings 14 years of experience. She studied at University of Buenos Aires and works with seniors on mobility and balance. Outside work, she gardens on a balcony. She has earned a national fellowship for this work.",3,1
"Aisha Garcia is a detail obsessed chiropractor based in Lisbon. After earning a degree from University of Texas at Austin in 2016, she works with seniors on mobility and balance. She is known for creative risk taking and speaks at industry meetups.",3,1
"Based in San Diego, Lucia Nguyen works as a chiropractor. She trained at University of Nairobi and has spent 13 years in the field. She partners with sports clubs during tournament seasons, and recently led a citywide pilot program. She has earned a national fellowship for this work.",3,1
"Based in Tokyo, Maya Okoye works as a chiropractor. She trained at ETH Zurich and has spent 8 years in the field. She partners with sports clubs during tournament seasons, and recently led a peer reviewed study. She has earned a design citation for this work.",3,1
"Leila Nguyen, a chiropractor in Oslo, brings 17 years of experience. She studied at Stanford University and integrates manual therapy with rehab exercises. Outside work, she writes flash fiction. She has earned a best paper award for this work.",3,1
"Zoe Okoye, a chiropractor in Oslo, brings 10 years of experience. She studied at Stanford University and integrates manual therapy with rehab exercises. Outside work, she sings in a community choir.",3,1
"Tariq Brown is a empathetic chiropractor based in Oslo. After earning a degree from McGill University in 2016, he treats runners and office related posture injuries. He is known for creative risk taking and speaks at industry meetups.",3,0
"Ryan Patel, a chiropractor in Toronto, brings 21 years of experience. He studied at University of Nairobi and integrates manual therapy with rehab exercises. Outside work, he restores old bicycles.",3,0
"Daniel Patel, a chiropractor in San Diego, brings 9 years of experience. He studied at University of Buenos Aires and treats runners and office related posture injuries. Outside work, he builds DIY synthesizers. He has earned a community leadership medal for this work.",3,0
"Daniel Smith is a data driven chiropractor based in Seattle. After earning a degree from Trinity College Dublin in 2007, he works with seniors on mobility and balance. He is known for inventive problem solving and volunteers with a local nonprofit. He has earned a teaching honor for this work.",3,0
"Miles Nguyen is a detail obsessed chiropractor based in Tokyo. After earning a degree from McGill University in 2007, he works with seniors on mobility and balance. He is known for steady leadership and collaborates across disciplines. He has earned a startup grant for this work.",3,0
"Andre Johansson is a story first chiropractor based in Vancouver. After earning a degree from Trinity College Dublin in 2008, he partners with sports clubs during tournament seasons. He is known for clear communication and publishes practical guides.",3,0
"Caleb Rossi, a chiropractor in Mumbai, brings 7 years of experience. He studied at University of Texas at Austin and treats runners and office related posture injuries. Outside work, he plays in a weekend soccer league.",3,0
"Omar Nguyen, a chiropractor in Mumbai, brings 19 years of experience. He studied at University of Melbourne and integrates manual therapy with rehab exercises. Outside work, he builds DIY synthesizers. He has earned a regional excellence award for this work.",3,0
"Based in Toronto, Samir Smith works as a chiropractor. He trained at University of Buenos Aires and has spent 5 years in the field. He integrates manual therapy with rehab exercises, and recently led a citywide pilot program.",3,0
"Marcus Johansson is a hands on chiropractor based in New Orleans. After earning a degree from Stanford University in 2014, he treats runners and office related posture injuries. He is known for inventive problem solving and collaborates across disciplines.",3,0
"With a career spanning 20 years, Keiko Patel is a comedian who hosts a weekend improv series. She operates out of Dublin and is valued for steady leadership. She also runs community workshops.",4,1
"Based in Montreal, Leila Brown works as a comedian. She trained at Stanford University and has spent 3 years in the field. She uses comedy to fundraise for youth arts, and recently led a peer reviewed study.",4,1
"Jillian Patel is a data driven comedian based in Chicago. After earning a degree from Stanford University in 2013, she hosts a weekend improv series. She is known for creative risk taking and runs community workshops.",4,1
"Based in New Orleans, Elena Smith works as a comedian. She trained at McGill University and has spent 19 years in the field. She uses comedy to fundraise for youth arts, and recently led a peer reviewed study. She has earned a design citation for this work.",4,1
"Based in Oslo, Lucia Nguyen works as a comedian. She trained at McGill University and has spent 22 years in the field. She hosts a weekend improv series, and recently led a new client onboarding system. She has earned a design citation for this work.",4,1
"Based in Buenos Aires, Zoe Rossi works as a comedian. She trained at University of Buenos Aires and has spent 10 years in the field. She hosts a weekend improv series, and recently led a citywide pilot program.",4,1
"Rachel Smith, a comedian in Dublin, brings 6 years of experience. She studied at Stanford University and tours with a sharp observational set about modern work life. Outside work, she plays in a weekend soccer league.",4,1
"Based in Buenos Aires, Jillian Smith works as a comedian. She trained at Seoul National University and has spent 21 years in the field. She writes character driven sketches for streaming shows, and recently led an award winning redesign.",4,1
"With a career spanning 21 years, Maya Khan is a comedian who hosts a weekend improv series. She operates out of New Orleans and is valued for clear communication. She also speaks at industry meetups. She has earned a startup grant for this work.",4,1
"Maya Nguyen is a empathetic comedian based in Helsinki. After earning a degree from University of Nairobi in 2021, she tours with a sharp observational set about modern work life. She is known for clear communication and runs community workshops.",4,1
"Based in Seattle, Miles Garcia works as a comedian. He trained at University of Buenos Aires and has spent 21 years in the field. He writes character driven sketches for streaming shows, and recently led an award winning redesign. He has earned a community leadership medal for this work.",4,0
"With a career spanning 11 years, Noah Okoye is a comedian who uses comedy to fundraise for youth arts. He operates out of Lisbon and is valued for clear communication. He also volunteers with a local nonprofit.",4,0
"Tariq Okoye is a empathetic comedian based in Oslo. After earning a degree from Stanford University in 2002, he tours with a sharp observational set about modern work life. He is known for analytical precision and speaks at industry meetups.",4,0
"Javier Lee is a story first comedian based in San Diego. After earning a degree from ETH Zurich in 2008, he uses comedy to fundraise for youth arts. He is known for analytical precision and runs community workshops. He has earned a regional excellence award for this work.",4,0
"Based in Vancouver, Samir Brown works as a comedian. He trained at Seoul National University and has spent 17 years in the field. He tours with a sharp observational set about modern work life, and recently led a cross team initiative.",4,0
"Javier Smith is a systems minded comedian based in Buenos Aires. After earning a degree from University of British Columbia in 2010, he uses comedy to fundraise for youth arts. He is known for steady leadership and collaborates across disciplines. He has earned a community leadership medal for this work.",4,0
"Liam Nguyen is a detail obsessed comedian based in Berlin. After earning a degree from University of Nairobi in 2014, he writes character driven sketches for streaming shows. He is known for creative risk taking and publishes practical guides. He has earned a community leadership medal for this work.",4,0
"Gabe Khan is a hands on comedian based in Austin. After earning a degree from Seoul National University in 2021, he tours with a sharp observational set about modern work life. He is known for rigorous ethics and volunteers with a local nonprofit.",4,0
"Omar Smith, a comedian in Nairobi, brings 4 years of experience. He studied at University of British Columbia and writes character driven sketches for streaming shows. Outside work, he plays in a weekend soccer league. He has earned a national fellowship for this work.",4,0
"With a career spanning 6 years, Caleb Patel is a comedian who tours with a sharp observational set about modern work life. He operates out of Oslo and is valued for patient coaching. He also collaborates across disciplines. He has earned a national fellowship for this work.",4,0
"Zoe Khan, a composer in Berlin, brings 11 years of experience. She studied at Trinity College Dublin and scores indie games and chamber concerts. Outside work, she gardens on a balcony.",5,1
"With a career spanning 3 years, Valeria Brown is a composer who runs workshops on composition for beginners. She operates out of Helsinki and is valued for analytical precision. She also runs community workshops.",5,1
"Ingrid Rossi is a detail obsessed composer based in Austin. After earning a degree from McGill University in 2020, she blends folk motifs with electronic textures. She is known for clear communication and runs community workshops. She has earned a design citation for this work.",5,1
"With a career spanning 14 years, Sofia Okoye is a composer who writes for film, choir, and podcast themes. She operates out of Seoul and is valued for steady leadership. She also speaks at industry meetups. She has earned a national fellowship for this work.",5,1
"Camille Brown, a composer in Lisbon, brings 6 years of experience. She studied at Trinity College Dublin and runs workshops on composition for beginners. Outside work, she hikes coastal trails. She has earned a best paper award for this work.",5,1
"Based in New Orleans, Fatima Brown works as a composer. She trained at Stanford University and has spent 10 years in the field. She runs workshops on composition for beginners, and recently led a peer reviewed study.",5,1
"Based in Berlin, Leila Brown works as a composer. She trained at Stanford University and has spent 17 years in the field. She writes for film, choir, and podcast themes, and recently led an award winning redesign. She has earned an industry innovation prize for this work.",5,1
"Based in Berlin, Priya Garcia works as a composer. She trained at University of Buenos Aires and has spent 14 years in the field. She blends folk motifs with electronic textures, and recently led a new client onboarding system.",5,1
"Sofia Garcia, a composer in Dublin, brings 12 years of experience. She studied at Stanford University and writes for film, choir, and podcast themes. Outside work, she plays in a weekend soccer league. She has earned a teaching honor for this work.",5,1
"Leila Lee is a calm under pressure composer based in Vancouver. After earning a degree from Seoul National University in 2015, she writes for film, choir, and podcast themes. She is known for clear communication and speaks at industry meetups.",5,1
"Andre Rossi, a composer in Cairo, brings 21 years of experience. He studied at Seoul National University and blends folk motifs with electronic textures. Outside work, he gardens on a balcony.",5,0
"Based in Oslo, Javier Johansson works as a composer. He trained at Seoul National University and has spent 11 years in the field. He runs workshops on composition for beginners, and recently led a peer reviewed study.",5,0
"Victor Lee is a story first composer based in Dublin. After earning a degree from University of Texas at Austin in 2005, he writes for film, choir, and podcast themes. He is known for rigorous ethics and collaborates across disciplines.",5,0
"Based in Austin, Nikolai Brown works as a composer. He trained at University of Texas at Austin and has spent 3 years in the field. He writes for film, choir, and podcast themes, and recently led an award winning redesign. He has earned a national fellowship for this work.",5,0
"Colin Smith, a composer in Toronto, brings 15 years of experience. He studied at University of Melbourne and runs workshops on composition for beginners. Outside work, he sings in a community choir.",5,0
"Based in Cape Town, Javier Garcia works as a composer. He trained at Seoul National University and has spent 10 years in the field. He runs workshops on composition for beginners, and recently led a citywide pilot program. He has earned a community leadership medal for this work.",5,0
"Noah Smith, a composer in Seattle, brings 20 years of experience. He studied at University of Texas at Austin and blends folk motifs with electronic textures. Outside work, he sings in a community choir.",5,0
"Omar Okoye, a composer in Vancouver, brings 10 years of experience. He studied at University of Melbourne and writes for film, choir, and podcast themes. Outside work, he plays in a weekend soccer league. He has earned a best paper award for this work.",5,0
"Caleb Lee, a composer in Chicago, brings 7 years of experience. He studied at University of Buenos Aires and writes for film, choir, and podcast themes. Outside work, he writes flash fiction.",5,0
"Gabe Nguyen, a composer in Oslo, brings 14 years of experience. He studied at Stanford University and blends folk motifs with electronic textures. Outside work, he plays in a weekend soccer league. He has earned a community leadership medal for this work.",5,0
"Tessa Patel is a detail obsessed dentist based in Montreal. After earning a degree from McGill University in 2019, she does cosmetic restorations and implants. She is known for inventive problem solving and speaks at industry meetups. She has earned an industry innovation prize for this work.",6,1
"Camille Garcia, a dentist in Helsinki, brings 22 years of experience. She studied at Stanford University and runs a family clinic with a focus on preventive care. Outside work, she restores old bicycles.",6,1
"Amara Johansson is a empathetic dentist based in Seattle. After earning a degree from McGill University in 2007, she runs a family clinic with a focus on preventive care. She is known for clear communication and collaborates across disciplines.",6,1
"Camille Nguyen, a dentist in Toronto, brings 7 years of experience. She studied at University of Nairobi and does cosmetic restorations and implants. Outside work, she builds DIY synthesizers. She has earned a teaching honor for this work.",6,1
"Based in Toronto, Rachel Brown works as a dentist. She trained at University of Melbourne and has spent 14 years in the field. She leads outreach pop up clinics in rural areas, and recently led a new client onboarding system.",6,1
"Sofia Smith is a empathetic dentist based in Austin. After earning a degree from Trinity College Dublin in 2011, she runs a family clinic with a focus on preventive care. She is known for analytical precision and collaborates across disciplines. She has earned a national fellowship for this work.",6,1
"Based in Austin, Aisha Lee works as a dentist. She trained at University of Texas at Austin and has spent 4 years in the field. She leads outreach pop up clinics in rural areas, and recently led a cross team initiative. She has earned an industry innovation prize for this work.",6,1
"Maya Johansson, a dentist in Lisbon, brings 7 years of experience. She studied at University of British Columbia and does cosmetic restorations and implants. Outside work, she hikes coastal trails. She has earned a regional excellence award for this work.",6,1
"Based in New Orleans, Camille Rossi works as a dentist. She trained at University of British Columbia and has spent 16 years in the field. She leads outreach pop up clinics in rural areas, and recently led a public lecture series. She has earned a teaching honor for this work.",6,1
"Ingrid Patel is a detail obsessed dentist based in Chicago. After earning a degree from University of Texas at Austin in 2008, she runs a family clinic with a focus on preventive care. She is known for clear communication and volunteers with a local nonprofit. She has earned a national fellowship for this work.",6,1
"Noah Okoye is a hands on dentist based in Vancouver. After earning a degree from University of Melbourne in 2020, he leads outreach pop up clinics in rural areas. He is known for clear communication and mentors early career colleagues. He has earned a design citation for this work.",6,0
"With a career spanning 4 years, Nikolai Khan is a dentist who runs a family clinic with a focus on preventive care. He operates out of Toronto and is valued for analytical precision. He also mentors early career colleagues.",6,0
"With a career spanning 8 years, Victor Smith is a dentist who specializes in pediatric dentistry and anxiety aware visits. He operates out of Cairo and is valued for careful listening. He also collaborates across disciplines. He has earned a design citation for this work.",6,0
"Based in Berlin, Ted Rossi works as a dentist. He trained at University of Melbourne and has spent 4 years in the field. He does cosmetic restorations and implants, and recently led a new client onboarding system. He has earned a teaching honor for this work.",6,0
"Colin Garcia, a dentist in Montreal, brings 13 years of experience. He studied at University of Melbourne and does cosmetic restorations and implants. Outside work, he hikes coastal trails.",6,0
"Gabe Nguyen, a dentist in Buenos Aires, brings 14 years of experience. He studied at ETH Zurich and runs a family clinic with a focus on preventive care. Outside work, he builds DIY synthesizers.",6,0
"Based in Austin, Caleb Okoye works as a dentist. He trained at University of Melbourne and has spent 3 years in the field. He leads outreach pop up clinics in rural areas, and recently led a new client onboarding system. He has earned a best paper award for this work.",6,0
"Tariq Smith, a dentist in Helsinki, brings 9 years of experience. He studied at ETH Zurich and specializes in pediatric dentistry and anxiety aware visits. Outside work, he writes flash fiction.",6,0
"Jonah Johansson is a collaborative dentist based in New Orleans. After earning a degree from Stanford University in 2009, he leads outreach pop up clinics in rural areas. He is known for patient coaching and mentors early career colleagues. He has earned a regional excellence award for this work.",6,0
"Jonah Khan, a dentist in New Orleans, brings 6 years of experience. He studied at University of Buenos Aires and runs a family clinic with a focus on preventive care. Outside work, he builds DIY synthesizers.",6,0
"With a career spanning 22 years, Rachel Johansson is a dietitian who works with athletes on fueling and recovery. She operates out of Lisbon and is valued for clear communication. She also mentors early career colleagues. She has earned a regional excellence award for this work.",7,1
"Maya Brown is a data driven dietitian based in Mumbai. After earning a degree from University of Texas at Austin in 2017, she designs culturally specific nutrition programs. She is known for patient coaching and mentors early career colleagues.",7,1
"Tessa Johansson is a story first dietitian based in Seoul. After earning a degree from University of Texas at Austin in 2007, she works with athletes on fueling and recovery. She is known for rigorous ethics and volunteers with a local nonprofit.",7,1
"With a career spanning 4 years, Aisha Lee is a dietitian who builds meal plans for diabetes management. She operates out of Buenos Aires and is valued for careful listening. She also volunteers with a local nonprofit.",7,1
"Based in Berlin, Sofia Okoye works as a dietitian. She trained at Trinity College Dublin and has spent 15 years in the field. She builds meal plans for diabetes management, and recently led a citywide pilot program.",7,1
"Aisha Okoye is a collaborative dietitian based in Austin. After earning a degree from University of British Columbia in 2007, she builds meal plans for diabetes management. She is known for rigorous ethics and publishes practical guides.",7,1
"Based in Berlin, Leila Smith works as a dietitian. She trained at University of Nairobi and has spent 6 years in the field. She teaches intuitive eating and gut health, and recently led a public lecture series.",7,1
"Ingrid Nguyen, a dietitian in Montreal, brings 16 years of experience. She studied at Stanford University and designs culturally specific nutrition programs. Outside work, she writes flash fiction.",7,1
"With a career spanning 18 years, Rachel Okoye is a dietitian who builds meal plans for diabetes management. She operates out of Lisbon and is valued for clear communication. She also collaborates across disciplines.",7,1
"Based in Austin, Sofia Khan works as a dietitian. She trained at Trinity College Dublin and has spent 11 years in the field. She works with athletes on fueling and recovery, and recently led a new client onboarding system. She has earned a best paper award for this work.",7,1
"Noah Lee, a dietitian in Montreal, brings 19 years of experience. He studied at ETH Zurich and works with athletes on fueling and recovery. Outside work, he collects vintage cookbooks. He has earned a teaching honor for this work.",7,0
"With a career spanning 8 years, Liam Khan is a dietitian who works with athletes on fueling and recovery. He operates out of Cairo and is valued for inventive problem solving. He also runs community workshops.",7,0
"Omar Garcia is a story first dietitian based in Nairobi. After earning a degree from University of Buenos Aires in 2008, he teaches intuitive eating and gut health. He is known for clear communication and volunteers with a local nonprofit.",7,0
"Based in Cape Town, Jonah Smith works as a dietitian. He trained at University of Texas at Austin and has spent 3 years in the field. He designs culturally specific nutrition programs, and recently led a new client onboarding system.",7,0
"Jonah Lee, a dietitian in Seoul, brings 22 years of experience. He studied at Trinity College Dublin and builds meal plans for diabetes management. Outside work, he plays in a weekend soccer league.",7,0
"Victor Johansson is a calm under pressure dietitian based in Cairo. After earning a degree from University of British Columbia in 2011, he designs culturally specific nutrition programs. He is known for clear communication and runs community workshops. He has earned a national fellowship for this work.",7,0
"Ryan Rossi, a dietitian in Seoul, brings 12 years of experience. He studied at Stanford University and teaches intuitive eating and gut health. Outside work, he builds DIY synthesizers. He has earned a design citation for this work.",7,0
"Tariq Garcia, a dietitian in Montreal, brings 6 years of experience. He studied at McGill University and works with athletes on fueling and recovery. Outside work, he restores old bicycles. He has earned a national fellowship for this work.",7,0
"With a career spanning 10 years, Caleb Nguyen is a dietitian who works with athletes on fueling and recovery. He operates out of Tokyo and is valued for analytical precision. He also speaks at industry meetups.",7,0
"Colin Brown, a dietitian in Toronto, brings 14 years of experience. He studied at Seoul National University and teaches intuitive eating and gut health. Outside work, he sings in a community choir.",7,0
"Ingrid Lee is a detail obsessed dj based in Berlin. After earning a degree from ETH Zurich in 2006, she curates late night radio mixes. She is known for clear communication and mentors early career colleagues. She has earned a community leadership medal for this work.",8,1
"Tessa Lee, a dj in Oslo, brings 15 years of experience. She studied at Stanford University and mentors new DJs through a community studio. Outside work, she writes flash fiction.",8,1
